#Sample ID	Depth	SizeFrac	sulfide_uM	DO_um	Turbidity_FNU	Temp_C	ORP_mV	pH	Chl-a	phyco	salinity_psu	TDS_mgL	IC_assm	BHP 	totalcellL	CH4	SO4	NO3	Mn	Fe	NH4	0.4Partic	0.2-0.4Partic	Partic	thiosulfate_µM	del13C_POC	Description
AC-GL3-0-2-6	5	0.2-2.7	0	311.1437189	0.152689443	19.25044619	120.3355163	7.60319199	0.09930319	-0.04800225	1.04	1317	0.114076631	0.645661568	1.44E+09	0.71221076	9.54	60.968	14	25.53	NaN	0	0	0	0.23	NaN	AC_6_5m_1L_2017-04-10
AC-GL3-0-2-19	15	0.2-2.7	0	573.6976645	-0.227575544	10.91008056	99.05168575	7.865799719	-58.50747223	0.519983843	1.126694794	1502.608336	0.175005945	0.921933983	3.01E+09	0.695044667	10.33	52.572	21	16.87	NaN	0	0.01728	0.01728	0.22	NaN	AC_19_15m_1L_2017-04-10
AC-GL3-0-2-1	16	0.2-2.7	0	142.6232814	-0.33	11.20814574	137.5	7.419999994	0.511687208	0.090726303	1.179478536	1490.950422	NaN	NaN	NaN	0.584634906	10.88	42.367	79	27.09	NaN	0	0.0136	0.0136	0.19	NaN	AC_1_16m_1L_2017-04-10
AC-GL3-0-2-4	19	0.2-2.7	0	1.284971537	-0.23021196	10.55308976	139.5108565	7.01	1.323618717	0.350247393	1.35	1684.063369	NaN	NaN	NaN	0.599069362	11.47	20.089	1880	26.52	NaN	0.030933333	0.077333333	0.108266667	0.19	NaN	AC_4_19m_1L_2017-04-10
AC-GL3-0-2-7	20	0.2-2.7	0	-3.75	67.07132529	9.619	-53.85121269	6.91	6.16	1.26	1.36	1707	2.23918347	1.347238069	4.23E+09	0.556458846	11.28	8.169	21952	25.46	NaN	0.04	0.084	0.124	0.12	NaN	AC_7_20m_1L_2017-04-17
AC-GL3-0-2-9	21	0.2-2.7	612.0003371	-3.75	1.726705888	8.660962389	-374.1179542	6.92	1.864489137	0.551861853	1.38	1729.122555	NaN	NaN	NaN	3.57285025	11.57	2.0175	48427.5	244.275	NaN	0.0432	0.0564	0.0996	0.26	NaN	AC_9_21m_1L_2017-04-10
AC-GL3-0-2-18	25	0.2-2.7	1290.490471	-3.75	0.987486746	7.750707447	-377.1169604	6.93	0.090578128	0.305722439	1.39	1737.411158	0.212377767	0.002805243	3.62E+09	10.38226618	15.31	0.173	9420	352.03	NaN	0.0583	0.0285	0.0868	0.33	NaN	AC_18_25m_1L_2017-04-10
AC-GL3-0-2-3	40	0.2-2.7	3140.40951	-2.49999841	0.202945829	7.937049163	-384.7580612	6.95	-0.135416602	0.157601462	1.424954767	1802.202856	0.185968123	0.006907594	4.17E+09	20.41718814	14.45	0	4704.333333	101.2466667	NaN	0.00272	0.058186667	0.060906667	0.21	NaN	AC_3_40m_1L_2017-04-10
AC-GL3-0-2-14	20	0.2-2.7	0	-3.75	67.07132529	9.619	-53.85121269	6.91	6.16	1.26	1.36	1707	2.23918347	1.347238069	4.23E+09	0.556458846	11.28	8.169	21952	25.46	NaN	0.04	0.084	0.124	0.12	NaN	AC_14_20m_0.5L_2017-04-10
AC-GL3-2-7-6	5	>2.7	0	311.1437189	0.152689443	19.25044619	120.3355163	7.60319199	0.09930319	-0.04800225	1.04	1317	0.114076631	0.645661568	1.44E+09	0.71221076	9.54	60.968	14	25.53	NaN	0	0	0	0.23	NaN	AC_6_5m_1L_2017-04-17
