category	bin_separators
Depth	[14,30]
sulfide_uM	[400,2000]
DO_um	[3.5,22,90,250,500]
Turbidity_FNU	[0.5,1.35,35]
Temp_C	[7.2,8.3,15]
ORP_mV	[-350,-180,0]
pH	[6.87,7.16,7.47,7.73]
Chl-a	[3.4,7.4]
phyco	[13.5,128]
salinity_psu	[0.9,1.22]
TDS_mgL	[1550,1766.7]
IC_assm	[1,8]
BHP 	[0.4,1.1]
totalcellL	[2000000000,7000000000,12000000000]
CH4	[2.4,7.5,13]
SO4	[13]
NO3	[6,25,50]
Mn	[8000,30000,52000]
Fe	[216,425,600,1000]
NH4	[50,150,325]
0.4Partic	[0.01,0.05]
0.2-0.4Partic	[0.045]
Partic	[1,11]
thiosulfate_µM	[.5]
del13C_POC	[-41,-38.5,-35]
