#Sample ID,DepthCat,SizeFracCat,sulfide_uMCat,DO_umCat,Turbidity_FNUCat,Temp_CCat,ORP_mVCat,pHCat,Chl-aCat,phycoCat,salinity_psuCat,TDS_mgLCat,IC_assmCat,BHP Cat,totalcellLCat,CH4Cat,SO4Cat,NO3Cat,MnCat,FeCat,NH4Cat,0.4ParticCat,0.2-0.4ParticCat,ParticCat,thiosulfate_µMCat,del13C_POCCat,DescriptionCat,oxcatCat,redoxclineposCat,MonthCat,yearCat
AC-GL3-0-2-6,0,0.2-2.7,0,4,0,3,3,3,0,0,1,0,0,1,0,0,0,3,0,0,NAN,0,0,0,0,NAN,AC_6_5m_1L_2017-04-10,oxic,above,early October,2016.0
AC-GL3-0-2-19,1,0.2-2.7,0,5,0,2,3,4,0,0,1,0,0,1,1,0,0,3,0,0,NAN,0,0,0,0,NAN,AC_19_15m_1L_2017-04-10,oxic,upper boundary,early October,2016.0
AC-GL3-0-2-1,1,0.2-2.7,0,3,0,2,3,2,0,0,1,0,NAN,NAN,NAN,0,0,2,0,0,NAN,0,0,0,0,NAN,AC_1_16m_1L_2017-04-10,oxic,inside,early October,2016.0
AC-GL3-0-2-4,1,0.2-2.7,0,0,0,2,3,1,0,0,2,1,NAN,NAN,NAN,0,0,1,0,0,NAN,1,1,0,0,NAN,AC_4_19m_1L_2017-04-10,suboxic,inside,early October,2016.0
AC-GL3-0-2-7,1,0.2-2.7,0,0,3,2,2,1,1,0,2,1,1,2,1,0,0,1,1,0,NAN,1,1,0,0,NAN,AC_7_20m_1L_2017-04-17,suboxic,inside,early October,2016.0
AC-GL3-0-2-9,1,0.2-2.7,1,0,2,2,0,1,0,0,2,1,NAN,NAN,NAN,1,0,0,2,1,NAN,1,1,0,0,NAN,AC_9_21m_1L_2017-04-10,euxinic,lower boundary,early October,2016.0
AC-GL3-0-2-18,1,0.2-2.7,1,0,1,1,0,1,0,0,2,1,0,0,1,2,1,0,1,1,NAN,2,0,0,0,NAN,AC_18_25m_1L_2017-04-10,euxinic,below,early October,2016.0
AC-GL3-0-2-3,2,0.2-2.7,2,0,0,1,0,1,0,0,2,2,0,0,1,3,1,0,0,0,NAN,0,1,0,0,NAN,AC_3_40m_1L_2017-04-10,euxinic,below,early October,2016.0
AC-GL3-0-2-14,1,0.2-2.7,0,0,3,2,2,1,1,0,2,1,1,2,1,0,0,1,1,0,NAN,1,1,0,0,NAN,AC_14_20m_0.5L_2017-04-10,suboxic,inside,early October,2016.0
AC-GL3-2-7-6,0,>2.7,0,4,0,3,3,3,0,0,1,0,0,1,0,0,0,3,0,0,NAN,0,0,0,0,NAN,AC_6_5m_1L_2017-04-17,oxic,above,early October,2016.0
